TransactionID,CustomerID,Date,Amount,Currency,Country,TransactionType,RiskFlag,Scenario
5001,1001,2026-07-01,125.50,USD,USA,Debit,Low,Normal Purchase
5002,1002,2026-07-02,2500.00,USD,USA,Credit,Low,Payroll Deposit
5003,1003,2026-07-03,9800.00,USD,USA,Cash Deposit,Medium,Structuring Deposit 1
5004,1003,2026-07-03,9700.00,USD,USA,Cash Deposit,Medium,Structuring Deposit 2
5005,1003,2026-07-03,9600.00,USD,USA,Cash Deposit,High,Possible Structuring
5006,1004,2026-07-04,15000.00,USD,Iran,Wire Transfer,High,High-Risk Country Transfer
5007,1005,2026-07-05,45000.00,USD,USA,Wire Transfer,High,Large Transfer
5008,1006,2026-07-05,55.99,USD,USA,Debit,Low,Grocery Purchase
5009,1007,2026-07-06,10000.00,USD,USA,Cash Deposit,Medium,Threshold Deposit
5010,1008,2026-07-06,9999.99,USD,USA,Cash Deposit,High,Just Below Threshold
5011,1009,2026-07-07,25000.00,USD,Russia,Wire Transfer,High,International Wire
5012,1010,2026-07-07,250.00,USD,USA,Debit,Low,Restaurant Purchase
5013,1005,2026-07-08,50000.00,USD,Cayman Islands,Wire Transfer,High,Offshore Transfer
5014,1007,2026-07-08,7800.00,USD,USA,Cash Deposit,Medium,Frequent Cash Deposit
5015,1001,2026-07-09,89.25,USD,USA,Debit,Low,Online Shopping
